City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Boyolangu,ID,77.81,broken clouds,-8.1181,111.8935,Yos ega cv
202,Tecoanapa,MX,76.89,overcast clouds,16.5167,-98.75,Hotel Manglares
206,Ko Samui,TH,87.71,few clouds,9.5357,99.9357,The Passage
207,Kargat,RU,70.12,broken clouds,55.1956,80.2811,Kargat
208,Wewak,PG,80.58,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
212,Sidi Ali,DZ,83.79,clear sky,36.0998,0.4206,Complexe touristique haje bezine
222,Stephenville,US,80.82,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
223,Axim,GH,81.9,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
224,Kaputa,ZM,77.38,clear sky,-8.4689,29.6619,Chelelwa Charlets
230,Nabire,ID,76.44,moderate rain,-3.3667,135.4833,Hotel Nusantara I
231,Vangaindrano,MG,73.02,broken clouds,-23.35,47.6,Hotel Fanilo
232,Krasnoarmeysk,RU,72.61,overcast clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
234,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
235,Vila,PT,78.69,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
238,Marsh Harbour,BS,80.76,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
239,Erzin,TR,81.01,clear sky,36.9559,36.2,Artemis Otel
242,Kimbe,PG,76.62,light rain,-5.5502,150.1429,Kimbe Bay Hotel
244,Naruto,JP,75.18,broken clouds,34.1833,134.6167,Resort hotel Moana Coast
245,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
248,Turukhansk,RU,80.35,broken clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
249,Talnakh,RU,74.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
251,Iracoubo,GF,76.59,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
252,Itarema,BR,78.21,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
256,Canico,PT,74.03,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
257,Tete,MZ,80.69,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
259,Lata,PT,88.07,scattered clouds,40.1629,-8.3327,Casa Maquia
260,Nador,MA,78.87,broken clouds,35.174,-2.9287,Hôtel La Giralda
261,Mangan,IN,79.5,light rain,27.5167,88.5333,Hotel Mout View
266,Yala,TH,84.6,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
267,Cuamba,MZ,79.27,clear sky,-14.8031,36.5372,Hotel Vision
268,Hanzhong,CN,80.6,clear sky,33.0728,107.0303,Guorui Hotel
269,Carnarvon,AU,71.64,few clouds,-24.8667,113.6333,Hospitality Carnarvon
275,Richards Bay,ZA,75.47,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
276,Tautira,PF,78.08,broken clouds,-17.7333,-149.15,Pension Oaoa
277,Monrovia,LR,81.59,overcast clouds,6.3005,-10.7969,Sunset Inn
279,Tamandare,BR,76.93,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
280,Bagnes,CH,85.15,clear sky,46.0833,7.2167,Hôtel Le Vanessa
287,Kokopo,PG,77.67,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
289,Ipixuna,BR,74.48,broken clouds,-1.7625,-48.8043,Chalé do Mato
290,Great Bend,US,77.13,few clouds,38.3645,-98.7648,Best Western Angus Inn
291,Natal,BR,80.82,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
292,Kampot,KH,86.05,moderate rain,10.6167,104.1833,Two Moons Hotel
293,Sarangani,PH,85.03,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
294,Gizo,SB,82.06,few clouds,-8.103,156.8419,Imagination Island
296,Sao Filipe,CV,77.07,clear sky,14.8961,-24.4956,Hotel Xaguate
297,New Sibonga,PH,75.97,overcast clouds,7.5609,125.9298,VILLARINO LOT
298,Landshut,DE,83.32,light rain,48.5333,12.15,Hotel Goldene Sonne
299,Requena,ES,83.79,few clouds,39.4883,-1.1004,Hotel Avenida
301,Kisangani,CD,85.19,overcast clouds,0.5167,25.2,Grand Ramela Hotel
304,Vao,NC,71.17,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
305,Hope,US,78.85,scattered clouds,33.6671,-93.5916,Best Western Hope
306,Keningau,MY,74.52,heavy intensity rain,5.3378,116.1602,Sabindo Hotel
311,Omboue,GA,80.1,scattered clouds,-1.5746,9.2618,Hotel Olako
313,Itororo,BR,72.32,overcast clouds,-15.1169,-40.0703,Hotel Indiana
317,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
320,Aljezur,PT,83.73,clear sky,37.3191,-8.8033,Amazigh Hostel
322,Ende,ID,76.98,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
329,Toledo,ES,89.31,overcast clouds,39.8333,-4.0,Hotel Carlos V Toledo
330,Zambezi,ZM,78.33,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
332,Zhezkazgan,KZ,84.18,broken clouds,47.8043,67.7144,Hotel Zumrat
335,Lumphat,KH,82.02,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
336,Kosh-Agach,RU,77.04,light rain,50.0,88.6667,Fermerskiy Dom v Kosh-Agache
338,Khorinsk,RU,70.74,few clouds,52.1657,109.7726,Uda
339,Denpasar,ID,80.26,light rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
340,Lasa,IT,77.88,clear sky,46.6166,10.7002,Pension Feldgärtenhof
341,Goyty,RU,85.37,broken clouds,43.1642,45.6228,Central market
342,Pandan,PH,82.42,scattered clouds,14.0453,124.1694,Bonifacio Lodge
344,Port Keats,AU,71.24,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
347,Gland,CH,83.77,scattered clouds,46.4208,6.2701,Hôtel La Barcarolle
350,Pindiga,NG,87.15,overcast clouds,9.9833,10.9333,Accommodation Center
351,Acarau,BR,77.63,scattered clouds,-2.8856,-40.12,castelo pizzaria
353,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
355,Dzaoudzi,YT,85.89,few clouds,-12.7887,45.2699,Le Rocher
356,Guangyuan,CN,77.94,light rain,32.442,105.823,Guangyuan Poetry Hotel
360,Majene,ID,78.51,moderate rain,-3.5403,118.9707,Kost Putri RABBANI
361,Moa,CU,78.31,scattered clouds,20.6569,-74.9403,Carmen
363,Hirara,JP,80.87,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
365,Tarakan,ID,83.7,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
