City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Kargat,RU,55.1956,80.2811,70.12,67,67,11.99,broken clouds
208,Wewak,PG,-3.5534,143.6268,80.58,80,65,6.87,broken clouds
209,Byron Bay,AU,-28.65,153.6167,56.3,60,67,6.87,broken clouds
210,Nikolskoye,RU,59.7035,30.7861,67.91,70,100,4.76,moderate rain
211,Gibraleon,ES,37.3763,-6.969,91.02,16,16,10.36,few clouds
212,Sidi Ali,DZ,36.0998,0.4206,83.79,37,5,6.91,clear sky
213,Stupino,RU,54.9008,38.0708,69.62,68,91,7.63,overcast clouds
214,Lensk,RU,60.7253,114.9278,65.03,35,96,9.86,overcast clouds
215,Sur,OM,22.5667,59.5289,90.5,66,6,8.99,clear sky
216,Harnosand,SE,62.6323,17.9379,66.22,63,4,15.41,light rain
217,Kaitangata,NZ,-46.2817,169.8464,39.0,78,37,4.45,scattered clouds
218,New Glasgow,CA,45.5834,-62.6486,64.18,72,79,6.44,broken clouds
219,Garden City,US,42.3256,-83.331,67.95,90,75,10.36,broken clouds
220,Codrington,AU,-38.2667,141.9667,52.95,79,69,11.45,broken clouds
221,Grindavik,IS,63.8424,-22.4338,51.75,87,75,9.22,broken clouds
222,Stephenville,US,32.2207,-98.2023,80.82,76,0,6.91,clear sky
223,Axim,GH,4.8699,-2.2405,81.9,67,100,6.85,overcast clouds
224,Kaputa,ZM,-8.4689,29.6619,77.38,44,5,2.89,clear sky
225,Husavik,IS,66.0449,-17.3389,42.37,96,100,9.66,overcast clouds
226,Yerbogachen,RU,61.2767,108.0108,64.42,40,6,4.72,clear sky
227,Upernavik,GL,72.7868,-56.1549,25.7,86,100,13.87,overcast clouds
228,Omsukchan,RU,62.5333,155.8,38.1,86,97,3.11,overcast clouds
229,Batagay-Alyta,RU,67.8006,130.4114,63.91,38,100,8.66,overcast clouds
230,Nabire,ID,-3.3667,135.4833,76.44,91,97,2.95,moderate rain
231,Vangaindrano,MG,-23.35,47.6,73.02,62,56,6.31,broken clouds
232,Krasnoarmeysk,RU,51.0239,45.6969,72.61,50,98,10.69,overcast clouds
233,Bara,NG,10.3744,10.7288,89.6,47,100,5.88,overcast clouds
234,Souillac,MU,-20.5167,57.5167,71.98,88,75,14.97,light rain
235,Vila,PT,42.0304,-8.1588,78.69,55,9,2.77,clear sky
236,Mar Del Plata,AR,-38.0023,-57.5575,30.22,100,0,3.44,clear sky
237,Vanavara,RU,60.34,102.2797,68.18,42,100,4.9,overcast clouds
238,Marsh Harbour,BS,26.5412,-77.0636,80.76,79,88,16.2,overcast clouds
239,Erzin,TR,36.9559,36.2,81.01,55,0,13.94,clear sky
240,Honningsvag,NO,70.9821,25.9704,49.75,66,75,29.93,broken clouds
241,San Cristobal,VE,7.7669,-72.225,69.98,99,100,3.85,overcast clouds
242,Kimbe,PG,-5.5502,150.1429,76.62,90,62,3.69,light rain
243,Sainte-Maxime,FR,43.3,6.6333,94.75,47,36,8.46,scattered clouds
244,Naruto,JP,34.1833,134.6167,75.18,43,75,11.5,broken clouds
245,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,57,14.09,light rain
246,Hofn,IS,64.2539,-15.2082,59.02,55,75,18.41,broken clouds
247,Udachnyy,RU,66.4167,112.4,59.45,58,76,9.51,broken clouds
248,Turukhansk,RU,65.8167,87.9833,80.35,32,78,13.18,broken clouds
249,Talnakh,RU,69.4865,88.3972,74.21,32,100,11.27,overcast clouds
250,Tabat,ID,-2.635,115.2274,75.79,95,99,0.76,overcast clouds
251,Iracoubo,GF,5.4802,-53.2011,76.59,89,78,5.28,broken clouds
252,Itarema,BR,-2.9248,-39.9167,78.21,83,46,8.12,scattered clouds
