City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
480,Nehe,20,CN,2022-06-11 14:42:35,48,48.4833,124.8333,61.02,7.36
481,Half Moon Bay,0,US,2022-06-11 14:42:35,85,37.4636,-122.4286,73.89,3.44
482,Takoradi,74,GH,2022-06-11 14:42:36,74,4.8845,-1.7554,80.82,13.51
483,Port Pirie,0,AU,2022-06-11 14:42:36,84,-33.1833,138.0167,49.32,3.8
484,Rio Grande,4,BR,2022-06-11 14:42:37,60,-32.035,-52.0986,51.91,21.41
485,Altamont,20,US,2022-06-11 14:42:40,82,42.2068,-121.7372,62.4,1.01
486,Sao Felix Do Xingu,99,BR,2022-06-11 14:42:41,50,-6.6447,-51.995,88.14,2.62
487,Neiafu,75,TO,2022-06-11 14:42:41,94,-18.65,-173.9833,75.88,0.0
488,Alyangula,100,AU,2022-06-11 14:42:42,73,-13.8483,136.4192,70.36,11.72
489,Uige,4,AO,2022-06-11 14:42:43,19,-7.6087,15.0613,87.24,2.3
490,Roald,75,NO,2022-06-11 14:42:43,72,62.5833,6.1333,68.9,11.5
491,Bubaque,100,GW,2022-06-11 14:42:44,78,11.2833,-15.8333,80.58,8.68
492,Tecoanapa,99,MX,2022-06-11 14:42:44,71,16.5167,-98.75,82.85,1.72
493,Berekua,20,DM,2022-06-11 14:42:44,58,15.2333,-61.3167,88.74,4.61
494,Akdepe,18,TM,2022-06-11 14:42:45,27,42.0551,59.3788,84.29,8.63
495,Shanghai,20,CN,2022-06-11 14:41:11,78,31.2222,121.4581,73.26,8.95
496,Naron,70,ES,2022-06-11 14:42:45,82,43.5167,-8.1528,74.55,16.31
497,Tezu,100,IN,2022-06-11 14:42:45,98,27.9167,96.1667,73.45,4.09
498,Khani,35,GE,2022-06-11 14:42:46,64,41.9563,42.9566,81.97,3.49
499,Tahoua,0,NE,2022-06-11 14:43:46,45,14.8888,5.2692,85.98,11.5
500,Batsfjord,40,NO,2022-06-11 14:43:47,51,70.6345,29.7185,58.78,3.44
501,Riyadh,0,SA,2022-06-11 14:40:46,7,24.6877,46.7219,109.54,15.28
502,Kingston,20,JM,2022-06-11 14:43:31,64,17.997,-76.7936,88.25,14.97
503,Florida,100,US,2022-06-11 14:40:18,82,28.7505,-82.5001,85.91,4.61
504,General Pico,0,AR,2022-06-11 14:41:17,27,-35.6566,-63.7568,56.91,6.78
505,Sinnamary,75,GF,2022-06-11 14:43:47,70,5.3833,-52.95,82.85,8.66
506,Husavik,100,IS,2022-06-11 14:43:48,97,66.0449,-17.3389,45.18,4.81
507,Norman Wells,75,CA,2022-06-11 14:43:49,71,65.282,-126.8329,53.64,2.3
508,Zelenoborsk,41,RU,2022-06-11 14:43:50,76,61.4669,64.0333,62.31,6.71
509,Bichura,96,RU,2022-06-11 14:43:50,91,50.5881,107.6022,52.02,0.96
510,Vanimo,57,PG,2022-06-11 14:43:50,84,-2.6741,141.3028,79.3,4.59
511,Todos Santos,51,MX,2022-06-11 14:43:51,67,23.45,-110.2167,90.05,4.83
512,Port Macquarie,0,AU,2022-06-11 14:43:51,72,-31.4333,152.9167,46.54,7.61
513,Bhera,0,PK,2022-06-11 14:43:51,10,32.4832,72.9097,103.62,4.25
514,Kerrobert,100,CA,2022-06-11 14:43:52,43,51.9168,-109.1348,62.65,9.73
515,Biswan,0,IN,2022-06-11 14:43:53,11,27.5,81.0,104.02,5.35
516,Atasu,52,KZ,2022-06-11 14:43:54,34,48.6814,71.6433,69.8,6.35
517,Registro,98,BR,2022-06-11 14:43:54,75,-24.4875,-47.8436,65.77,2.89
518,Antofagasta,40,CL,2022-06-11 14:43:54,53,-23.65,-70.4,66.22,5.37
519,Nizhniy Kuranakh,100,RU,2022-06-11 14:43:55,88,58.8353,125.4869,57.09,1.88
520,Deir Hanna,0,IL,2022-06-11 14:43:55,21,32.862,35.3637,96.82,8.93
521,Brejo Da Madre De Deus,70,BR,2022-06-11 14:43:57,74,-8.1458,-36.3711,76.75,6.55
522,Carauari,100,BR,2022-06-11 14:43:57,91,-4.8828,-66.8958,73.0,5.1
523,Cabo San Lucas,32,MX,2022-06-11 14:39:18,66,22.8909,-109.9124,81.7,7.2
524,Ryotsu,100,JP,2022-06-11 14:43:57,84,38.0833,138.4333,62.13,12.46
525,Redkino,80,RU,2022-06-11 14:43:58,67,56.6475,36.2967,67.21,2.93
526,Pahrump,0,US,2022-06-11 14:43:58,21,36.2083,-115.9839,92.25,8.99
527,Scarborough,46,GB,2022-06-11 14:43:58,76,54.2797,-0.4044,66.9,5.01
528,Smidovich,38,RU,2022-06-11 14:43:59,94,48.6,133.8167,55.69,3.87
529,Poum,62,NC,2022-06-11 14:43:59,74,-20.2333,164.0167,75.51,10.2
530,Saint-Augustin,100,CA,2022-06-11 14:44:00,87,51.226,-58.6502,54.5,21.21
531,El Dorado,43,US,2022-06-11 14:44:00,28,38.7666,-120.5177,76.6,2.68
532,Leeton,64,AU,2022-06-11 14:44:00,83,-34.5667,146.4,43.66,9.55
533,Lazaro Cardenas,100,MX,2022-06-11 14:44:01,65,17.9583,-102.2,84.49,1.01
534,Ostrovnoy,33,RU,2022-06-11 14:44:01,46,68.0531,39.5131,58.32,5.03
535,Hambantota,75,LK,2022-06-11 14:44:01,83,6.1241,81.1185,82.74,8.05
